"Ajavahemik","Väärtus"
"veebruar 2007",0.1
"märts 2007",1.2
"aprill 2007",1.7
"mai 2007",2.5
"juuni 2007",2.9
"juuli 2007",4.1
"august 2007",4.2
"september 2007",5.3
"oktoober 2007",6.4
"november 2007",7.8
"detsember 2007",8.6
"jaanuar 2008",11
"veebruar 2008",11.4
"märts 2008",12.2
"aprill 2008",13.3
"mai 2008",14
"juuni 2008",14.7
"juuli 2008",15.6
"august 2008",15.7
"september 2008",16.3
"oktoober 2008",16.8
"november 2008",16.5
"detsember 2008",16.2
"jaanuar 2009",15.5
"veebruar 2009",15.1
"märts 2009",14.5
"aprill 2009",13.7
"mai 2009",13.7
"juuni 2009",13.7
"juuli 2009",14.7
"august 2009",14.7
"september 2009",14.5
"oktoober 2009",14.3
"november 2009",14.1
"detsember 2009",14.2
"jaanuar 2010",14.7
"veebruar 2010",15
"märts 2010",16.4
"aprill 2010",17
"mai 2010",17.2
"juuni 2010",17.7
"juuli 2010",18
"august 2010",18
"september 2010",19
"oktoober 2010",19.7
"november 2010",20.1
"detsember 2010",20.8
"jaanuar 2011",20.7
"veebruar 2011",21.5
"märts 2011",22.4
"aprill 2011",23.3
"mai 2011",23.4
"juuni 2011",23.4
"juuli 2011",24.1
"august 2011",24.5
"september 2011",25.1
"oktoober 2011",25
"november 2011",25.1
"detsember 2011",25.3
"jaanuar 2012",26.1
"veebruar 2012",26.6
"märts 2012",27.9
"aprill 2012",28.2
"mai 2012",28.2
"juuni 2012",28.3
"juuli 2012",28.6
"august 2012",29.2
"september 2012",29.8
"oktoober 2012",30.1
"november 2012",29.7
"detsember 2012",29.6
"jaanuar 2013",30.5
"veebruar 2013",31.3
"märts 2013",32.3
"aprill 2013",32.2
"mai 2013",32.4
"juuni 2013",33.1
"juuli 2013",33
"august 2013",33
"september 2013",32.5
"oktoober 2013",32.1
"november 2013",31.6
"detsember 2013",31.4
"jaanuar 2014",31.9
"veebruar 2014",32.1
"märts 2014",32.5
"aprill 2014",32.4
"mai 2014",32.6
"juuni 2014",32.6
"juuli 2014",32.4
"august 2014",32
"september 2014",31.8
"oktoober 2014",31.8
"november 2014",30.8
"detsember 2014",30.7
"jaanuar 2015",30.2
"veebruar 2015",31
"märts 2015",31.7
"aprill 2015",32.3
"mai 2015",32.6
"juuni 2015",32.4
"juuli 2015",31.9
"august 2015",31.6
"september 2015",30.8
"oktoober 2015",31
"november 2015",30.6
"detsember 2015",29.6
"jaanuar 2016",29.5
"veebruar 2016",30.4
"märts 2016",31.4
"aprill 2016",31.4
"mai 2016",31.4
"juuni 2016",31.9
"juuli 2016",31.9
"august 2016",32
"september 2016",32.2
"oktoober 2016",31.8
"november 2016",31.9
"detsember 2016",32.5
"jaanuar 2017",33
"veebruar 2017",34.8
"märts 2017",35.1
"aprill 2017",35.5
"mai 2017",35.8
"juuni 2017",35.7
"juuli 2017",36.6
"august 2017",37.1
"september 2017",37
"oktoober 2017",36.8
"november 2017",37.5
"detsember 2017",37
"jaanuar 2018",37.6
"veebruar 2018",38.9
"märts 2018",38.9
"aprill 2018",39.5
"mai 2018",39.9
"juuni 2018",41.2
"juuli 2018",41.3
"august 2018",42
"september 2018",42.1
"oktoober 2018",42.8
"november 2018",42.1
"detsember 2018",41.7
"jaanuar 2019",41.4
"veebruar 2019",41.6
"märts 2019",42.1
"aprill 2019",44
"mai 2019",44.3
"juuni 2019",44.5
"juuli 2019",44.4
"august 2019",45.4
"september 2019",45.1
"oktoober 2019",45
"november 2019",44.7
"detsember 2019",44.2
"jaanuar 2020",43.7
"veebruar 2020",44.4
"märts 2020",43.4
"aprill 2020",42.8
"mai 2020",41.8
"juuni 2020",43.1
"juuli 2020",43.1
"august 2020",44
"september 2020",43.6
"oktoober 2020",42.9
"november 2020",43.1
"detsember 2020",43.1
"jaanuar 2021",44
"veebruar 2021",45.2
"märts 2021",44.9
"aprill 2021",45.5
"mai 2021",46.9
"juuni 2021",48.6
"juuli 2021",50.2
"august 2021",51.3
"september 2021",53.1
"oktoober 2021",52.9
"november 2021",55.7
"detsember 2021",60.5
"jaanuar 2022",60.3
"veebruar 2022",62.6
"märts 2022",67
"aprill 2022",72.9
"mai 2022",76.2
"juuni 2022",81.1
"juuli 2022",84.5
"august 2022",88.8
"september 2022",89.4
"oktoober 2022",87.3
"november 2022",88.9
"detsember 2022",88.7
"jaanuar 2023",90.1
"veebruar 2023",91.2
"märts 2023",92.5
"aprill 2023",96.3
"mai 2023",96.2
"juuni 2023",97.6
"juuli 2023",96.4
"august 2023",97.5
"september 2023",97.4
"oktoober 2023",96.5
"november 2023",96.5
