
05.2007,1993.2,7252,5603,1353.0,2571,2008
06.2007,1948.8,7405,6011,1355.2,2588,2136
07.2007,1935.0,7644,6379,1354.0,2730,2221
08.2007,1922.1,7945,6397,1366.7,2860,2296
09.2007,1912.4,8476,6900,1371.2,2780,2197
10.2007,1888.7,8751,7188,1367.8,2702,2124
11.2007,1869.3,8478,7169,1365.1,2618,1990
12.2007,1852.0,7776,6813,1367.0,2261,1840
01.2008,1816.7,8331,6735,1341.5,2537,1896
02.2008,1791.3,8768,7203,1320.1,2451,1971
03.2008,1775.6,9296,7448,1313.9,2446,1905
04.2008,1754.3,10105,7977,1305.6,2404,1951
05.2008,1740.9,10481,8365,1329.4,2630,1956
06.2008,1713.4,9852,8508,1286.4,2352,1933
07.2008,1707.4,9938,8410,1295.7,2380,1877
08.2008,1690.3,9956,8410,1295.5,2405,1903
09.2008,1677.1,10184,8409,1276.5,2303,1839
10.2008,1659.2,10388,8473,1253.2,2371,1854
11.2008,1612.5,9741,8226,1231.6,2187,1776
12.2008,1584.2,8983,8049,1207.5,2125,1802
01.2009,1534.8,9242,7776,1181.2,2180,1754
02.2009,1485.5,9129,7840,1149.3,2179,1766
03.2009,1427.2,9168,7657,1119.1,2172,1720
04.2009,1371.7,8935,7440,1083.0,2226,1780
05.2009,1327.8,8550,7104,1050.7,2239,1813
06.2009,1299.9,8171,6908,1029.9,2132,1778
07.2009,1265.0,7868,6640,1022.1,2099,1734
08.2009,1246.2,7581,6345,1020.5,2039,1698
09.2009,1228.8,7742,6096,1009.5,2131,1652
10.2009,1218.6,7383,5857,993.2,2048,1626
11.2009,1212.4,7388,5687,973.2,2094,1611
12.2009,1224.7,6806,5602,970.3,1949,1588
01.2010,1217.2,7020,5526,966.4,2053,1546
02.2010,1224.7,7000,5475,956.0,2072,1542
03.2010,1219.9,7533,5358,950.2,2288,1590
04.2010,1219.1,7262,5393,945.3,2425,1670
05.2010,1213.6,7480,5482,926.4,2720,1748
06.2010,1214.7,7484,5625,931.8,2730,1845
07.2010,1209.4,7520,5657,937.5,2829,1872
08.2010,1227.8,7943,5799,938.3,2769,1905
09.2010,1212.0,11013,5937,948.3,2876,1851
10.2010,1205.4,10426,6074,952.2,2820,1813
11.2010,1210.4,10287,6179,952.0,2667,1837
12.2010,1225.0,8760,6055,959.1,2281,1864
01.2011,1265.6,7073,5745,965.8,2054,1855
02.2011,1280.7,5524,5912,960.0,1776,1848
03.2011,1246.0,9136,6084,955.1,2321,1747
04.2011,1257.7,8690,6243,961.8,2251,1730
05.2011,1253.7,8826,6450,967.4,2399,1810
06.2011,1256.3,8426,6485,962.2,2278,1825
07.2011,1254.9,8894,6469,965.7,2291,1746
08.2011,1262.6,9131,6381,967.1,2390,1790
09.2011,1258.4,8803,6354,967.1,2259,1676
10.2011,1258.7,9398,6515,981.0,2366,1663
11.2011,1266.9,9436,6495,997.0,2301,1650
12.2011,1282.8,8876,6275,1010.4,1923,1515
01.2012,1291.7,9105,6115,1024.3,2303,1476
02.2012,1298.5,9423,6142,1002.1,1923,1474
03.2012,1300.0,8799,6040,1024.5,2000,1431
04.2012,1296.1,8512,5957,1031.9,1835,1425
05.2012,1317.0,8731,5825,1037.6,1900,1422
06.2012,1321.6,8182,5705,1042.6,1895,1441
07.2012,1321.2,7816,5553,1032.6,1909,1447
08.2012,1331.5,7829,5449,1039.5,1792,1367
09.2012,1342.8,8754,5303,1047.6,1688,1297
10.2012,1352.9,7992,5204,1046.2,1709,1292
11.2012,1394.4,7184,4827,1058.5,1541,1160
12.2012,1418.0,6574,4642,1073.0,1398,1072
01.2013,1424.1,7270,4423,1072.1,1511,1020
02.2013,1433.1,6596,4325,1084.0,1433,1013
03.2013,1456.4,6491,4231,1101.7,1490,1008
04.2013,1482.1,6774,4160,1114.5,1514,1018
05.2013,1499.2,6786,4154,1156.2,1470,1052
06.2013,1513.9,6509,4170,1187.1,1548,1123
07.2013,1524.3,6259,4253,1189.1,1595,1126
08.2013,1532.5,6146,4185,1208.1,1576,1093
09.2013,1553.5,6117,4120,1238.2,1527,1051
10.2013,1572.1,6401,4041,1253.0,1534,1007
11.2013,1614.7,6082,3934,1265.2,1439,975
12.2013,1670.3,5590,3819,1277.7,1272,972
01.2014,1698.1,6368,3790,1268.0,1477,976
02.2014,1732.0,6033,3813,1294.2,1505,1003
03.2014,1733.4,6665,4061,1297.0,1676,1021
04.2014,1723.8,7022,4544,1305.6,1835,1101
05.2014,1721.5,7834,4929,1320.6,2010,1228
06.2014,1737.1,8115,5259,1341.9,2117,1371
07.2014,1731.4,8067,5507,1352.1,2313,1410
08.2014,1733.9,8234,5617,1351.9,2489,1542
09.2014,1714.6,8817,5699,1348.6,2567,1562
10.2014,1733.6,8931,5842,1362.9,2485,1532
11.2014,1753.7,8493,5763,1354.7,2388,1549
12.2014,1786.2,7951,5513,1374.3,2507,1536
01.2015,1774.0,8348,5311,1383.3,2496,1595
02.2015,1800.4,8030,5262,1374.8,2589,1539
03.2015,1795.8,8493,5256,1363.9,2611,1534
04.2015,1798.4,8380,5367,1358.7,2615,1569
05.2015,1809.0,9140,5416,1352.2,2675,1573
06.2015,1820.1,8412,5549,1351.2,2579,1605
07.2015,1845.6,8143,5483,1364.2,2592,1634
08.2015,1860.5,8045,5419,1356.2,2518,1611
09.2015,1844.4,8509,5520,1357.5,2581,1595
10.2015,1827.2,8939,5613,1381.7,2710,1596
11.2015,1831.4,8962,5747,1378.0,2503,1664
12.2015,1865.2,8196,5588,1390.4,2481,1597
