"Ajavahemik","Väärtus"
"veebruar 2008",0.4
"märts 2008",1.1
"aprill 2008",2.1
"mai 2008",2.7
"juuni 2008",3.4
"juuli 2008",4.1
"august 2008",4.2
"september 2008",4.8
"oktoober 2008",5.3
"november 2008",4.9
"detsember 2008",4.7
"jaanuar 2009",4.1
"veebruar 2009",3.7
"märts 2009",3.2
"aprill 2009",2.4
"mai 2009",2.4
"juuni 2009",2.4
"juuli 2009",3.3
"august 2009",3.3
"september 2009",3.1
"oktoober 2009",3
"november 2009",2.8
"detsember 2009",2.9
"jaanuar 2010",3.3
"veebruar 2010",3.6
"märts 2010",4.9
"aprill 2010",5.4
"mai 2010",5.6
"juuni 2010",6
"juuli 2010",6.3
"august 2010",6.3
"september 2010",7.2
"oktoober 2010",7.8
"november 2010",8.2
"detsember 2010",8.8
"jaanuar 2011",8.8
"veebruar 2011",9.5
"märts 2011",10.3
"aprill 2011",11
"mai 2011",11.2
"juuni 2011",11.2
"juuli 2011",11.8
"august 2011",12.1
"september 2011",12.7
"oktoober 2011",12.6
"november 2011",12.7
"detsember 2011",12.8
"jaanuar 2012",13.6
"veebruar 2012",14.1
"märts 2012",15.2
"aprill 2012",15.5
"mai 2012",15.5
"juuni 2012",15.5
"juuli 2012",15.8
"august 2012",16.4
"september 2012",17
"oktoober 2012",17.2
"november 2012",16.8
"detsember 2012",16.7
"jaanuar 2013",17.6
"veebruar 2013",18.3
"märts 2013",19.2
"aprill 2013",19.1
"mai 2013",19.3
"juuni 2013",19.9
"juuli 2013",19.8
"august 2013",19.8
"september 2013",19.4
"oktoober 2013",19
"november 2013",18.5
"detsember 2013",18.4
"jaanuar 2014",18.8
"veebruar 2014",19
"märts 2014",19.3
"aprill 2014",19.3
"mai 2014",19.4
"juuni 2014",19.5
"juuli 2014",19.3
"august 2014",18.9
"september 2014",18.7
"oktoober 2014",18.7
"november 2014",17.8
"detsember 2014",17.8
"jaanuar 2015",17.3
"veebruar 2015",18
"märts 2015",18.7
"aprill 2015",19.2
"mai 2015",19.5
"juuni 2015",19.3
"juuli 2015",18.9
"august 2015",18.5
"september 2015",17.9
"oktoober 2015",18
"november 2015",17.6
"detsember 2015",16.7
"jaanuar 2016",16.6
"veebruar 2016",17.4
"märts 2016",18.4
"aprill 2016",18.3
"mai 2016",18.4
"juuni 2016",18.8
"juuli 2016",18.8
"august 2016",18.9
"september 2016",19.1
"oktoober 2016",18.7
"november 2016",18.8
"detsember 2016",19.3
"jaanuar 2017",19.8
"veebruar 2017",21.4
"märts 2017",21.7
"aprill 2017",22.1
"mai 2017",22.3
"juuni 2017",22.3
"juuli 2017",23.1
"august 2017",23.5
"september 2017",23.5
"oktoober 2017",23.2
"november 2017",23.8
"detsember 2017",23.4
"jaanuar 2018",24
"veebruar 2018",25.1
"märts 2018",25.2
"aprill 2018",25.6
"mai 2018",26
"juuni 2018",27.2
"juuli 2018",27.3
"august 2018",27.9
"september 2018",28
"oktoober 2018",28.6
"november 2018",28
"detsember 2018",27.7
"jaanuar 2019",27.4
"veebruar 2019",27.6
"märts 2019",28
"aprill 2019",29.7
"mai 2019",30
"juuni 2019",30.2
"juuli 2019",30
"august 2019",31
"september 2019",30.8
"oktoober 2019",30.7
"november 2019",30.3
"detsember 2019",29.9
"jaanuar 2020",29.4
"veebruar 2020",30.1
"märts 2020",29.1
"aprill 2020",28.6
"mai 2020",27.8
"juuni 2020",28.9
"juuli 2020",28.9
"august 2020",29.8
"september 2020",29.4
"oktoober 2020",28.7
"november 2020",28.9
"detsember 2020",28.9
"jaanuar 2021",29.7
"veebruar 2021",30.8
"märts 2021",30.5
"aprill 2021",31.1
"mai 2021",32.3
"juuni 2021",33.9
"juuli 2021",35.3
"august 2021",36.3
"september 2021",38
"oktoober 2021",37.8
"november 2021",40.3
"detsember 2021",44.6
"jaanuar 2022",44.4
"veebruar 2022",46.5
"märts 2022",50.4
"aprill 2022",55.8
"mai 2022",58.8
"juuni 2022",63.1
"juuli 2022",66.2
"august 2022",70.1
"september 2022",70.6
"oktoober 2022",68.7
"november 2022",70.2
"detsember 2022",70
"jaanuar 2023",71.3
"veebruar 2023",72.2
"märts 2023",73.4
"aprill 2023",76.8
"mai 2023",76.8
"juuni 2023",78.1
"juuli 2023",76.9
"august 2023",77.9
"september 2023",77.8
"oktoober 2023",77
"november 2023",77
